"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Emerging Technologies for Fluorescence-Based Optical Test Strip Readers","https://scispace.com/paper/emerging-technologies-for-fluorescence-based-optical-test-1nzyo235","2023","Journal Article","Europan journal of science and technology","Seda Aksoy
Ayse Dulda
Gökhan Ertaş","10.31590/ejosat.1265098","","Fluorescence-based optical test strip readers are used to detect and quantify fluorescent signals from immunoassay test strips in medicine, especially for point-of-care applications. The design of optical systems including light sources and detection systems in these devices is not only indispensable but also the most critical part for specific detection applications. This study aims to provide detailed information about fluorescence-based optical test strip readers, existing and emerging technologies, and their contributions to the design of the device. The most commonly used technologies of light sources and detection systems have been discussed and compared for the ideal design. Arc and Xenon lamps may not be appropriate for portable and low-cost devices as they are larger and more costly when compared to LEDs and laser diodes. Photodiodes and CMOS detectors can be used for the design of low-cost, portable fluorescence-based optical test strip readers as they are cheaper and smaller in size when compared to CCDs and PMTs. Both light source and detector should be chosen according to the application priorities and spectral characteristics of the fluorescent molecule by integrating them with proper optical elements like filters, mirrors, etc. This study contributes to the people who are interested in the design of fluorescence-based optical test strip readers as it serves as a guideline for the optical test strip reader systems.","In this paper , a detailed information about fluorescence-based optical test strip readers, existing and emerging technologies, and their contributions to the design of the device are discussed and compared for the ideal design."
"Systems and methods for correcting optical reflectance measurements","https://scispace.com/paper/systems-and-methods-for-correcting-optical-reflectance-38naqafoqi","2006","Patent","","Babs R. Soller
Ye Yang
Michael A. Shear
Olusola O. Soyemi","","https://scispace.com/pdf/systems-and-methods-for-correcting-optical-reflectance-38naqafoqi.pdf","We disclose measurement systems and methods for measuring analytes in target regions of samples that also include features overlying the target regions. The systems include: (a) a light source; (b) a detection system; (c) a set of at least first, second, and third light ports which transmit light from the light source to a sample and receive and direct light reflected from the sample to the detection system, generating a first set of data including information corresponding to both an internal target within the sample and features overlying the internal target, and a second set of data including information corresponding to features overlying the internal target; and (d) a processor configured to remove information characteristic of the overlying features from the first set of data using the first and second sets of data to produce corrected information representing the internal target.","In this article, the authors disclose measurement systems and methods for measuring analytes in target regions of samples that also include features overlying the target regions, including a light source, a detection system, and a processor configured to remove information characteristic of the overlying features from the first set of data using the first and second sets of data to produce corrected information representing the internal target."
"Accuracy of screening for hemolysis in plasma samples using a commercial urine dipstick","https://scispace.com/paper/accuracy-of-screening-for-hemolysis-in-plasma-samples-using-23i41l979o","2024","Journal Article","Journal of Laboratory Physicians","Laura Pighi
S. Nitto
Brandon Michael Henry
Giuseppe Lippi","10.25259/jlp-2023-8-25-(1935)","","

Identification and quantification of hemolysis in serum or plasma samples is an important requirement in laboratory diagnostics; however, this is not always possible automatically, and visual sample inspection is not sufficiently accurate. We have planned this study to determine whether a commercially available urine dipstick with a hemoglobin-reactive pad could be used for this purpose.



Sixty-five routine plasma samples, whose hemolysis index (HI) was previously determined on Roche Cobas 8000, were assayed with a commercial urine dipstick to obtain semi-quantitative data on plasma hemoglobin. Plasma was diluted 1:1000 in water to enter the dipstick’s range of hemoglobin measurement, and 10 µL of this dilution was applied to the hemoglobin pad. Results were visually interpreted within 60 s by comparing the pad color with that on the dipstick box label.



Semi-quantitative test results obtained with the urine dipstick were directly correlated with those of the same samples assayed on Roche Cobas 8000 using non-parametric Spearman’s correlation and agreement.



The sample size consisted of 40 non-hemolyzed (HI ≤0.3 g/L) and 25 hemolyzed (HI >0.3 g/L) plasma samples. Spearman’s correlation between Cobas HI and dipstick hemoglobin concentration was r = 0.96 (95% confidence interval, 0.93–0.97; P < 0.001). The concordance of hemolysis detection was 95.4%, with 1.00 sensitivity, 0.93 specificity, 1.00 negative predictive value, and 0.89 positive predictive value compared to the reference HI measurement on Cobas. The cumulative agreement between Cobas HI and the various plasma hemoglobin thresholds obtained with the dipstick was 75.4%.



We have demonstrated here that plasma hemoglobin assessment with commercially available urine dipsticks may generate semi-quantitative test results accurate enough to influence decision-making regarding sample quality and its suitability for testing.
","The urine dipstick hemoglobin assay is accurate for assessing plasma hemoglobin concentration and detecting hemolysis in plasma samples."
"Research of Urine Analyzer Based on Color Sensor","https://scispace.com/paper/research-of-urine-analyzer-based-on-color-sensor-4nbg96h6dv","2013","Journal Article","Advanced Materials Research","Quan Xing Liu
Hai Yan Chen
Dong Hua Lu","10.4028/WWW.SCIENTIFIC.NET/AMR.739.636","","Urine analysis is used in clinical medicine diagnosis method. In this paper, we introduce the urine analyzer working principle. Using the color recognition sensor chip, we design a fast urine analyzer, which is mainly constituted by several parts: LCD, keyboard control, serial communication, network interface, print, ARM Control unit, sample of sensors, motion control, color capture, brightness control, etc. we studies the test strip tests, the specific gravity of testing theory, the test principle of the turbidity , the color test, the principle of color sensor and gives a the flow chart of color test subprogram.","This paper designs a fast urine analyzer, using the color recognition sensor chip, which is mainly constituted by several parts: LCD, keyboard control, serial communication, network interface, print, ARM Control unit, sample of sensors, motion control, color capture, brightness control, etc."
"Apparatus and method for determination of urine color","https://scispace.com/paper/apparatus-and-method-for-determination-of-urine-color-2c87yftbyy","1997","Patent","","Howard Willis
Gary E. Rehm","","","An apparatus for analyzing a body-fluid sample, such as a urine sample, disposed on a reagent pad is provided with means for illuminating the reagent pad on which the body-fluid sample is disposed, means for detecting light received from the reagent pad and generating a first reflectance signal at a first time and a second reflectance signal at a second time, and means for assigning a color to the body-fluid sample based upon the magnitudes of the first and second reflectance signals. The means for assigning the color to the body-fluid sample may include means for determining a pair of color coefficients each of which has a magnitude based upon the magnitudes of the reflectance signals and means for assigning the color to the body-fluid sample based upon the magnitudes of the color coefficients.","In this paper, an apparatus for analyzing a body-fluid sample, such as a urine sample, disposed on a reagent pad is provided with means for illuminating the reagents pad on which the body-luid sample is disposed, means for detecting light received from the reagent pads and generating a first reflectance signal at a first time and a second reflectance signals at a second time, and means for assigning a color to the body fluid sample based upon the magnitudes of the first and second reflectances signals."
"Portable and low-cost LED based Spectrophotometer for the Detection of Nitrite in simulated-Urine","https://scispace.com/paper/portable-and-low-cost-led-based-spectrophotometer-for-the-3i4v2e2yaa","2019","Proceedings Article","","Sauranil Debarshi
Mohd Mansoor Khan","10.1109/UPCON47278.2019.8980097","","This paper describes a portable and inexpensive spectrophotometer for the detection of nitrite in simulated urine, indicating the presence of a bacterial infection in the urinary tract. It is based on a single ultraviolet light-emitting-diode (LED) of peak emission at 370 nm. A silicon pin photodiode was used as a detector to measure the intensity of light passing though a simulated urine sample made in de-ionized water. The electrical current generated by the photodiode was converted to a voltage signal and analysed by a microcontroller. The detection of nitrite was performed by measuring the absorbance of light by the nitrite molecules in the sample using the Beer-Lambert law. The proposed spectrophotometer components are inexpensive and readily available in market. By being portable and controlled by a microcontroller, it provides real-time result to a user. The results obtained by the spectrophotometer were compared with those of a dipstick test. The positive aspect of obtained results would encourage the authors to perform the experimental trials on actual urine samples in future prospects.","In this article, a portable and inexpensive spectrophotometer for the detection of nitrite in simulated urine, indicating the presence of a bacterial infection in the urinary tract, is described."
"Measurement of Specific Gravity, Urobilinogen, Blood, Protein and pH Level of Urine Samples Using Raspberry Pi based Portable Urine Test Strip Analyzer","https://scispace.com/paper/measurement-of-specific-gravity-urobilinogen-blood-protein-2rk15ma8zc","2020","Proceedings Article","International Conference on Biomedical Engineering","Arnold C. Paglinawan
Febus Reidj G. Cruz
Leonardo D. Valiente
Jesus Paolo T. Mendoza
Arnold M. Chanliongco
Jerome B. Torres
Rachelle Geleen S. Tungol","10.1145/3397391.3397414","","Urinalysis has been a helpful tool in detecting some common diseases It has been used to diagnose conditions such as urinary tract infections, kidney disorders, liver problems, and other metabolic conditions Regular urinalysis may be done to detect early signs of diseases and prevent it, but it is also time consuming and costly Urine has several components and some of the parameters can be examined through the use of a urine test strip analysis This paper presents a portable raspberry-pi based system that is designed to analyze the key parameters of urine namely, specific gravity, urobilinogen, blood, protein, and pH level This study is focused in determining the key parameters of urine samples aforementioned which are essential in diagnosing early signs of disorders Image processing was used in order to properly identify the positioning of each pad in the strip and to obtain the color change evaluated in terms of HSV color space analysis Statistical analysis was performed in order to compare the values measured by the urine test strip analyzer to the actual laboratory urinalysis test Using T-test, the results show that there is no significant difference between the values measured by the urine test strip analyzer and the actual laboratory urinalysis","A portable raspberry-pi based system that is designed to analyze the key parameters of urine namely, specific gravity, urobilinogen, blood, protein, and pH level, which are essential in diagnosing early signs of disorders is presented."
"Development of an Optical Detection-Based Universal Biochemical Blood Analysis Platform","https://scispace.com/paper/development-of-an-optical-detection-based-universal-43zfb1unr2","2021","Journal Article","IEEE Sensors Journal","Sangeeta Palekar
Jayu Kalambe","10.1109/JSEN.2021.3108560","","The development of a cost-efficient and sensitive platform for biochemical analysis of blood serum and its realization in the low resource areas is one of the imperative challenges to establish a robust healthcare ecosystem. The present work demonstrates the design of a universal platform, capable of performing all biochemical analyses of blood serum by measuring the absorbance of light through the test sample. To verify the working of the developed platform, the concentration of glucose was estimated in blood serum. The detection of glucose has been accomplished in a linear range of 1 mg/dL to 400 mg/dL with detection of limit 1 mg/dL ( $\text{R}^{2} =0.9875$ , n = 3). The stability analysis demonstrates improved stability in the output as compared to the conventional analyzer with an average standard deviation of 0.32 calculated for n = 5. Human blood samples were tested with the developed platform and the results were in line with the pathology laboratory. The developed platform offers the advantages of automation, low cost, portability, simple instrumentation, flexibility, and an easily accessible interface. Due to the use of a huge processing capability processor, the analysis time reduces to half a minute which yields fast analysis and high throughput. The stability and accuracy also improve owing to the employment of high-resolution electronics components. Overall, the proposed framework is an attractive solution to be incorporated in the low resource area as a universal platform for all biochemistry analysis simply by varying the wavelength of light and reagent.","In this article, the authors proposed a universal platform for biochemical analysis of blood serum by measuring the absorbance of light through the test sample, and the concentration of glucose was estimated in blood serum."
"Photometric analysis of biological samples using in-plane detection","https://scispace.com/paper/photometric-analysis-of-biological-samples-using-in-plane-yoqx7z5n0z","2006","Patent","","Goran Savatic
Patrick Griss
Heinz-Michael Hein
Rainer Jaeggi","","","On an analytical device for photometric analysis of chemistry and/or fluid samples comprising a rotatable disk-like body, a plurality of receptacles for fluid samples and optics for guiding light beams through the receptacles are arranged. At least part of the optics are designed and/or arranged such that at least part of the light beams is deflected and guided through the receptacles at an angle to the radially outward direction on the disk-like body which means at an angle to the radius, connecting the respective optics with the rotation axis of the disk-like body.","In this paper, a rotatable disk-like body is used for photometric analysis of chemistry and/or fluid samples comprising a plurality of receptacles for fluid samples and optics for guiding light beams through the receptacles."
"Color Space Transformation-Based Smartphone Algorithm for Colorimetric Urinalysis","https://scispace.com/paper/color-space-transformation-based-smartphone-algorithm-for-4xlsr12rbd","2018","Journal Article","","Yang Renbing
Wenbo Cheng
Xifeng Chen
Qin Qian
Qiang Zhang
Pan Yujun
Peng Duan
Peng Miao","10.1021/ACSOMEGA.8B01270","","Urine strips are widely applied for rapid analysis of various indexes of urine for clinical examinations. The tests mainly rely on the application of a urine analyzer, which suffers several drawbacks and cannot meet the requirements of point-of-care testing (POCT). The integration of a smartphone with a biosensor has recently attracted great attention. We herein propose a human vision-based smartphone algorithm for colorimetric analysis of various urine indexes. A CIEDE2000 formula in CIELab color space is applied for the evaluation of color difference, which may greatly improve the analytical performances of urine strips. The proposed algorithm also possesses merits such as good accuracy, quantitative analysis, and limited calculation task, which is suitable for the application with smartphone platform. Experimental results demonstrate that the proposed method shows excellent reliability compared with the urine analyzer and some other algorithms. In addition, human real samples are successfully analyzed ...","A human vision-based smartphone algorithm for colorimetric analysis of various urine indexes using CIEDE2000 formula in CIELab color space is applied for the evaluation of color difference, which may greatly improve the analytical performances of urine strips."
"Urine Test Strip Quantitative Assay with a Smartphone Camera","https://scispace.com/paper/urine-test-strip-quantitative-assay-with-a-smartphone-camera-1pd02gcl54","2024","Journal Article","International Journal of Analytical Chemistry","Miroslav Pohanka
Jitka Zakova","10.1155/2024/6004970","","Urine test strips for urinalysis are a common diagnostic tool with minimal costs and are used in various situations including homecare and hospitalization. The coloration scaled by the naked eye is simple, but it is suitable for semiquantitative analysis only. In this paper, a colorimetric assay is developed based on a smartphone digital camera and urine test strips. Assays of pH, albumin, glucose, and lipase activity were performed as a tool for the diagnosis of aciduria, alkaluria, glycosuria, proteinuria, and leukocyturia. The RGB color channels were analyzed in the colorimetric assay, and the assay exerted good sensitivity, and all the particular diagnoses proved to be reliable. The limits of detection for glucose (0.11 mmol/L), albumin (0.15 g/L), and lipase (2.50 U/μL) were low enough to cover the expected physiological concentration, and the range for pH was also satisfactory. The urine test strips with a camera as an output detector proved applicability to spiked urine samples, and the results were also well in comparison to the standard assays which confirms the practical relevance of the presented findings.","A smartphone camera-based colorimetric assay for urine test strips is a viable alternative for quantifying various urine parameters. The assay is sensitive, reliable, and covers a wide range of physiological concentrations."
"A Study on Urine Analyzer Using Color Images of Strip","https://scispace.com/paper/a-study-on-urine-analyzer-using-color-images-of-strip-2ozlki60lw","2007","Journal Article","Journal of The Korean Institute of Intelligent Systems","Yong-Hyun Cho","10.5391/JKIIS.2007.17.7.919","","This paper presents an urine analyzer using color images of strip An image sensor has been used to acquire an color images The analyzer has a characteristics which takes a pictures of independent each pad responding to urine items all at once, and outputs the measured urine values by analysing an acquired pad colors This device measures and analyses 11 urine items, and has a speed-up operation, light weight, small size, and makes accurate observations by processing the measured colors using processor The urine analyzer transmits the urine items to peripheral devices, personal computers, hospitals, and another places by using a telegraph and a wireless interfaces","This device measures and analyses 11 urine items, and has a speed-up operation, light weight, small size, and makes accurate observations by processing the measured colors using processor."
"Photometric Station for In-Vitro Diagnostic Analysis Through the Use of Organic-Based Opto-electronic Devices and Photonic Crystals","https://scispace.com/paper/photometric-station-for-in-vitro-diagnostic-analysis-through-2a180wyjz3","2020","Book Chapter","AISEM Annual Conference","Giuseppe Nenna
Maria Grazia Maglione
Pasquale Morvillo
T. Fasolino
Anna De Girolamo Del Mauro
Rosa Ricciardi
Carla Minarini
Paolo Tassini
Giorgio Allasia","10.1007/978-3-030-69551-4_25","","The present work proposes a method and an apparatus that allows the in vitro diagnostic analysis of biological samples to be carried out by analyzing the light radiation transmitted through the sample. An OLED (Organic LED) source, with broad emission spectrum for white light, was used; the optical path of the light radiation emitted by the source has been adapted to the specific wavelengths of the system (405 nm, 450 nm, 492 nm, 550 nm, 620 nm) and the detection of the signal was carried out through the use of an OPD (organic photodiode) with the appropriate photoresponse. To suitably select the analysis signal, a series of photonic crystals have been used, with the aim to also obtain a bandwidth of less than 10 nm as required by the solutions already present on the market. The proposed system gives the opportunity to reduce the overall dimensions of the analyzer compared to the systems existing on the market, avoiding the use of supplementary optical fibers and interference filters.","In this paper, an OLED (Organic LED) source, with broad emission spectrum for white light, was used; the optical path of the light radiation emitted by the source has been adapted to the specific wavelengths of the system, and the detection of the signal was carried out through the use of an OPD (organic photodiode) with the appropriate photoresponse."
